rainfall_intensity_mmh,accumulated_rain_2h_mm,elevation_m,depression_depth_m,impervious_percent,upstream_node_surcharge_m3s,pipe_capacity_ratio,road_slope_percent,flood_depth_cm
16.4,21.3,893.5,2.2,94.2,0.0,0.7,0.86,4.1
105.4,210.1,901.5,0.0,68.5,1.04,0.85,2.03,16.3
46.1,134.5,895.7,2.2,85.1,0.0,0.85,0.93,7.9
32.0,57.6,902.5,0.0,65.0,0.0,0.85,5.49,3.2
5.9,26.2,900.2,0.0,71.5,0.0,0.85,0.46,0.0
5.9,25.0,889.0,2.2,75.5,0.0,1.0,2.54,0.0
2.1,25.9,893.0,2.2,66.7,0.0,1.0,2.6,1.3
70.4,102.2,900.8,0.0,75.7,0.0,0.5,1.79,10.6
32.2,73.5,897.6,2.2,65.5,0.0,0.85,3.23,5.0
43.1,46.6,892.9,2.2,79.6,0.7,0.7,0.99,11.4
0.7,10.9,894.5,2.2,83.2,0.0,0.85,4.35,0.0
122.6,141.8,889.4,2.2,62.2,0.0,0.7,1.96,16.0
62.5,146.6,896.6,2.2,90.5,0.47,0.85,3.33,12.3
8.4,23.9,905.8,0.0,66.5,0.0,1.0,3.99,0.9
7.0,34.2,900.2,0.0,67.9,0.0,0.5,4.91,2.4
7.1,49.6,905.8,0.0,83.1,0.0,1.0,4.63,0.0
12.7,21.3,900.5,0.0,76.4,0.0,1.0,3.42,2.2
26.0,38.0,901.1,0.0,77.5,0.47,1.0,2.26,4.5
19.8,32.1,904.9,0.0,64.5,0.0,0.7,2.87,1.5
12.0,43.1,898.5,1.5,88.2,0.0,0.7,4.27,3.1
33.1,59.2,896.3,2.2,81.6,0.0,0.7,4.85,4.3
5.3,40.3,901.1,0.0,64.7,0.0,0.5,0.75,1.9
12.1,52.6,902.8,0.0,73.1,0.0,1.0,2.24,0.4
16.0,46.7,895.1,2.2,88.4,0.31,0.85,4.31,3.6
21.3,46.2,894.1,2.2,79.9,0.0,0.85,2.49,2.0
53.8,73.9,897.6,2.2,63.8,0.74,0.3,1.96,16.2
7.8,18.5,900.3,0.0,73.0,0.0,1.0,2.38,0.4
25.3,86.5,900.2,0.0,68.5,0.0,0.3,3.4,10.4
31.4,83.0,891.3,2.2,78.1,0.0,1.0,5.5,1.7
1.7,8.4,904.6,0.0,89.5,0.0,0.7,2.81,0.0
32.7,65.6,894.4,2.2,75.3,0.64,0.85,1.31,8.6
6.5,23.9,895.9,2.2,75.2,0.06,0.7,1.06,3.8
2.4,26.4,893.4,2.2,91.7,0.0,1.0,0.42,0.9
104.1,150.4,907.8,0.0,80.2,0.0,1.0,3.16,10.7
118.0,150.6,898.0,2.0,79.8,0.51,1.0,3.09,13.9
57.8,90.2,893.6,2.2,69.2,1.14,0.85,1.29,14.4
12.7,25.3,900.5,0.0,81.3,0.11,0.85,3.89,0.0
3.6,22.6,900.1,0.0,80.2,0.0,0.5,4.13,2.1
40.3,91.9,896.2,2.2,73.9,0.0,0.85,1.57,5.8
20.3,44.6,900.4,0.0,94.7,0.0,1.0,2.02,1.3
4.6,36.3,893.7,2.2,90.9,0.0,1.0,5.45,0.3
23.9,62.0,895.0,2.2,86.2,0.0,1.0,2.18,2.4
1.2,27.1,889.0,2.2,78.8,0.0,0.7,4.23,0.0
84.0,113.5,891.7,2.2,76.2,0.0,0.7,2.6,13.9
10.5,58.4,904.2,0.0,66.5,0.0,0.3,4.4,5.4
38.0,54.0,903.6,0.0,70.7,0.0,0.85,4.28,3.6
13.1,41.2,897.3,2.2,87.1,0.0,1.0,3.74,0.8
25.7,38.8,903.7,0.0,75.9,0.0,1.0,4.73,2.5
27.7,42.1,896.4,2.2,90.9,0.0,0.85,5.18,3.6
7.2,30.8,896.0,2.2,65.2,0.0,0.3,3.27,3.0
122.2,250.0,897.2,2.2,77.8,2.0,1.0,1.46,22.6
52.2,72.9,896.5,2.2,82.6,0.0,1.0,2.31,5.4
98.2,195.6,896.1,2.2,78.1,0.39,0.7,4.22,17.7
78.8,138.2,901.6,0.0,91.1,1.03,0.7,3.65,17.8
31.9,51.6,897.6,2.2,94.6,0.0,1.0,1.14,2.7
89.2,154.1,899.8,0.2,64.1,0.0,0.7,0.47,12.7
3.2,35.9,901.1,0.0,64.5,0.0,1.0,3.82,1.0
7.6,21.2,898.6,1.4,64.6,0.0,0.5,1.53,3.4
1.6,37.5,893.1,2.2,83.8,0.0,1.0,2.85,0.0
13.8,56.3,891.6,2.2,73.0,0.0,1.0,4.16,1.7
17.2,58.9,897.6,2.2,85.7,0.0,1.0,3.18,0.5
11.1,42.4,896.3,2.2,74.2,0.0,1.0,0.64,3.1
61.8,81.4,897.3,2.2,82.0,0.0,0.85,1.18,7.4
15.4,52.5,896.9,2.2,86.9,0.0,0.7,1.36,3.4
11.5,21.9,907.3,0.0,79.2,0.0,0.85,1.57,1.9
27.4,73.7,891.7,2.2,78.9,0.0,0.7,3.2,6.0
5.3,9.9,889.0,2.2,63.1,0.0,0.85,2.87,1.2
56.7,118.3,898.3,1.7,74.4,0.0,1.0,1.28,4.9
2.7,11.3,895.5,2.2,79.1,0.03,0.3,0.56,0.9
140.0,250.0,898.3,1.7,76.2,0.0,0.7,1.11,25.8
51.8,78.8,899.3,0.7,91.5,0.0,1.0,5.42,4.4
7.8,29.3,902.1,0.0,91.7,0.0,0.85,2.68,1.0
0.2,25.3,891.0,2.2,88.8,0.0,0.85,4.8,0.0
59.1,132.2,894.8,2.2,73.1,0.37,1.0,4.7,7.1
42.9,108.0,898.7,1.3,85.1,0.93,0.85,2.91,11.6
45.7,67.6,900.1,0.0,73.8,0.0,0.85,3.95,4.3
51.6,78.4,905.8,0.0,68.1,0.53,1.0,1.22,6.7
2.7,29.5,900.8,0.0,72.0,0.0,1.0,3.85,1.9
15.5,50.8,896.8,2.2,62.5,0.0,0.7,1.64,2.7
4.3,36.0,893.4,2.2,71.6,0.0,1.0,4.61,0.4
69.6,116.2,894.7,2.2,76.1,0.46,1.0,0.64,10.4
34.2,98.0,894.6,2.2,93.4,0.36,0.7,4.3,9.5
14.1,35.7,899.6,0.4,71.0,0.0,0.7,0.73,1.8
2.3,24.0,898.0,2.0,91.6,0.0,1.0,4.87,0.0
13.0,43.8,891.7,2.2,68.0,0.0,0.5,1.81,2.4
13.8,18.1,895.3,2.2,66.7,0.0,0.7,3.67,1.8
45.8,91.9,900.5,0.0,78.2,0.23,1.0,2.78,5.0
35.5,91.1,898.4,1.6,83.5,0.54,0.85,2.14,10.1
76.4,87.0,899.3,0.7,61.6,0.52,0.7,3.62,11.5
22.4,27.5,898.5,1.5,67.7,0.0,1.0,5.22,1.1
4.5,13.1,903.5,0.0,75.9,0.0,0.85,0.42,0.0
43.7,82.6,897.9,2.1,71.6,0.2,0.7,5.07,6.4
50.1,107.4,895.5,2.2,84.9,0.71,0.85,3.43,9.7
28.8,51.5,893.3,2.2,77.9,0.0,0.85,4.48,5.3
51.6,90.9,898.0,2.0,65.6,0.0,0.85,2.23,6.2
23.8,64.3,889.0,2.2,91.3,0.0,1.0,2.7,1.9
25.9,62.5,896.3,2.2,70.3,0.0,0.85,4.8,2.2
19.5,32.5,896.2,2.2,85.6,0.0,0.85,2.4,1.7
0.9,10.7,891.5,2.2,87.3,0.0,0.7,3.03,0.0
4.0,42.5,893.3,2.2,93.7,0.0,0.7,0.31,3.5
1.1,1.5,900.2,0.0,77.4,0.0,0.85,1.04,0.0
35.4,64.7,897.9,2.1,81.6,0.0,0.3,3.6,7.4
13.2,52.4,897.4,2.2,71.7,0.0,1.0,4.0,3.4
24.9,54.1,898.2,1.8,83.7,0.0,1.0,3.29,1.1
83.3,102.7,897.4,2.2,76.2,0.64,1.0,0.96,12.4
10.0,13.3,902.0,0.0,75.3,0.0,1.0,2.56,2.0
18.5,37.3,897.5,2.2,89.9,0.0,0.85,2.08,3.1
49.3,69.0,891.2,2.2,61.8,0.0,1.0,2.83,3.3
9.1,54.3,903.5,0.0,90.9,0.0,1.0,4.81,0.0
2.8,22.7,898.5,1.5,89.8,0.0,1.0,4.31,0.0
12.0,48.0,894.6,2.2,77.7,0.0,0.7,0.65,2.3
6.2,42.9,892.0,2.2,77.2,0.0,0.5,4.92,3.2
92.9,139.4,898.6,1.4,72.7,0.44,0.7,2.7,15.4
57.8,118.4,896.5,2.2,94.8,1.07,1.0,4.14,12.1
35.1,66.8,903.3,0.0,63.9,0.0,0.85,0.94,3.2
71.8,102.5,895.6,2.2,80.7,0.0,1.0,3.75,5.3
57.0,122.2,893.7,2.2,83.9,0.98,1.0,1.45,12.3
7.2,17.0,900.6,0.0,92.7,0.0,0.7,2.52,2.5
78.1,177.2,900.7,0.0,87.3,1.41,0.85,0.29,17.8
27.1,51.2,897.7,2.2,82.5,0.0,1.0,1.0,2.9
57.7,136.7,899.7,0.3,64.1,0.51,0.85,0.69,9.4
79.2,92.8,896.8,2.2,73.1,0.0,1.0,1.47,8.9
13.4,36.2,897.9,2.1,64.9,0.0,0.85,0.73,1.2
4.1,43.4,901.7,0.0,90.8,0.0,0.85,3.87,2.6
9.1,26.8,899.5,0.5,86.2,0.0,1.0,0.35,1.3
19.5,42.1,896.3,2.2,86.5,0.0,0.5,3.47,4.5
59.6,50.6,902.4,0.0,82.8,0.0,0.85,0.95,6.6
69.0,150.4,889.0,2.2,77.7,1.19,0.7,5.21,17.3
0.2,13.4,905.2,0.0,65.2,0.0,0.7,5.15,0.0
25.0,79.8,890.2,2.2,71.5,0.0,0.7,1.4,5.9
18.9,46.3,894.5,2.2,64.8,0.0,0.85,3.46,1.4
8.8,27.3,896.8,2.2,85.4,0.0,1.0,0.35,1.7
4.5,33.3,896.4,2.2,65.6,0.0,0.85,5.14,1.2
14.4,25.1,901.0,0.0,84.6,0.0,0.85,2.97,1.4
100.2,112.8,892.8,2.2,84.2,0.78,1.0,0.43,19.1
13.7,49.8,898.0,2.0,76.1,0.0,0.85,2.02,1.6
25.6,88.2,894.7,2.2,64.7,0.0,0.7,0.61,6.4
42.5,61.4,898.2,1.8,71.0,0.0,0.3,2.28,8.8
15.8,45.9,896.7,2.2,71.2,0.0,0.85,3.75,1.5
124.9,141.2,897.4,2.2,84.5,0.0,0.85,2.69,15.3
114.9,168.0,894.8,2.2,64.0,0.56,0.5,2.23,23.0
10.2,26.3,895.0,2.2,89.0,0.0,1.0,0.83,0.0
24.1,66.0,898.1,1.9,86.6,0.0,1.0,1.5,0.7
12.5,28.8,900.8,0.0,66.5,0.0,1.0,0.73,1.5
11.7,59.2,894.6,2.2,85.2,0.0,0.5,4.48,3.5
1.3,30.1,893.5,2.2,83.4,0.0,1.0,0.92,0.0
32.9,78.9,899.5,0.5,86.2,0.0,1.0,3.36,2.8
24.4,43.0,896.9,2.2,66.6,0.0,0.85,2.02,2.5
1.8,20.7,900.3,0.0,65.5,0.0,0.7,1.4,0.0
11.4,49.9,893.4,2.2,68.3,0.0,0.5,3.59,4.2
83.6,187.8,889.9,2.2,72.8,1.42,0.85,2.62,20.1
9.6,17.2,894.9,2.2,87.8,0.0,0.5,2.32,2.3
5.5,49.2,893.9,2.2,85.8,0.0,1.0,3.34,0.3
23.5,60.1,896.7,2.2,92.4,0.0,1.0,2.8,2.4
140.0,128.8,894.5,2.2,62.1,0.77,0.5,1.81,25.9
9.7,43.4,900.0,0.0,60.4,0.0,0.85,3.16,2.4
39.0,70.6,895.8,2.2,84.5,0.0,1.0,3.75,5.5
50.2,94.5,897.6,2.2,69.8,0.0,0.85,0.34,8.4
9.5,28.4,897.6,2.2,71.7,0.0,0.7,2.67,1.0
45.6,117.8,897.8,2.2,79.1,0.67,0.7,0.51,13.8
16.0,53.5,896.9,2.2,63.6,0.0,0.5,1.19,3.7
35.0,69.0,899.0,1.0,82.5,0.0,0.85,3.17,4.9
35.1,55.7,893.8,2.2,71.4,0.0,0.5,4.79,5.6
26.9,50.8,902.6,0.0,82.1,0.0,0.85,4.88,0.0
3.3,33.7,896.1,2.2,89.2,0.0,0.85,0.57,3.5
63.1,91.3,891.8,2.2,66.0,0.9,0.7,2.42,13.4
13.5,61.1,897.8,2.2,92.6,0.0,0.85,3.29,1.9
7.2,25.7,893.6,2.2,78.6,0.0,1.0,0.98,2.5
1.5,11.7,899.7,0.3,92.3,0.0,0.85,4.26,0.0
31.3,54.4,905.8,0.0,67.3,0.27,0.85,4.14,5.7
39.6,64.2,893.9,2.2,81.2,0.0,1.0,4.99,2.8
0.6,36.0,898.3,1.7,74.1,0.0,1.0,0.24,0.0
25.1,60.7,890.0,2.2,87.1,0.0,1.0,1.35,4.5
9.0,38.6,898.8,1.2,81.2,0.11,1.0,4.58,2.3
